ID	pvalue
GO:0040017	1.00179951187335e-10
GO:2000147	1.13918492585214e-10
GO:0030335	1.70785890516449e-10
GO:0045087	1.05109108881982e-08
GO:0061041	3.33088438646136e-08
GO:0022603	4.53060812862384e-08
GO:0001667	5.04377742351911e-08
GO:0030155	8.0220105716232e-08
GO:1903034	2.14384533887047e-07
GO:0001944	2.73098474319573e-07
GO:0030855	3.04770928894353e-07
GO:0010811	3.42979799568355e-07
GO:0045785	3.58913191918025e-07
GO:0010631	3.63666802726258e-07
GO:0090132	4.26937292554479e-07
GO:0010810	4.89987688982003e-07
GO:0061045	4.97918260677237e-07
GO:0007169	5.21075981133897e-07
GO:0032103	5.23230219548663e-07
GO:0090130	5.85365955094626e-07
GO:0002250	9.02490634188158e-07
GO:0045321	9.30134104148477e-07
GO:0009611	1.1585415432697e-06
GO:0045597	1.41844511382137e-06
GO:0050819	1.55628530809265e-06
GO:0050818	2.02238624755835e-06
GO:0010632	2.27559822588566e-06
GO:0043408	2.47126894789847e-06
GO:1903035	2.57779091708074e-06
GO:0001568	3.22466828742309e-06
GO:0042060	3.24072596076637e-06
GO:0070673	3.49676997785644e-06
GO:0010634	4.54074031274401e-06
GO:0030195	5.4621685386377e-06
GO:0030193	5.48194734672819e-06
GO:0046649	5.85314517647139e-06
GO:0045446	6.3437212884167e-06
GO:0043410	6.57709739484442e-06
GO:0098609	6.763780656221e-06
GO:1900047	6.83809794900683e-06
GO:0048514	6.85796796015475e-06
GO:0070371	7.70586744972383e-06
GO:1900046	7.83977749726204e-06
GO:0031589	8.22358692870903e-06
GO:0002252	9.72397720343299e-06
GO:0019221	9.95633048942513e-06
GO:0070372	1.1480468441817e-05
GO:0001525	1.42031083007038e-05
GO:0006935	1.55218062614766e-05
GO:0030198	1.57275602710266e-05
GO:0003158	1.59746560196235e-05
GO:0042330	1.64482991067501e-05
GO:0043062	1.68505441299292e-05
GO:0045229	1.80461539235951e-05
GO:0001934	1.94257291612261e-05
GO:0002697	1.99598601204158e-05
GO:0007229	2.02535760424158e-05
GO:0002699	2.04923185265227e-05
GO:0008544	2.06604197620851e-05
GO:0071345	2.15299683488627e-05
GO:0018212	2.19198219853535e-05
GO:0051607	2.36415697260689e-05
GO:0140546	2.36415697260689e-05
GO:0001816	2.42782828468618e-05
GO:0008285	2.5573617071957e-05
GO:0010562	2.56759416891273e-05
GO:0045937	2.56759416891273e-05
GO:0001954	2.80262766288504e-05
GO:0050731	2.99214785829358e-05
GO:0000165	3.2161802680497e-05
GO:0007369	3.53765891236466e-05
GO:0007492	3.83505645716978e-05
GO:0010594	3.86271551828068e-05
GO:0140888	3.95749411898182e-05
GO:0071357	4.05483392968667e-05
GO:0014070	4.45010591810792e-05
GO:0150115	4.94705411288341e-05
GO:0042481	4.97170090054576e-05
GO:0018108	5.13490415011253e-05
GO:0050730	5.20184435701103e-05
GO:0050918	5.27778659171212e-05
GO:0030036	5.54798772043721e-05
GO:0070374	6.480210600547e-05
GO:0030858	6.64794343462916e-05
GO:0045069	6.68324670384915e-05
