ID	pvalue
GO:0001667	2.68653873214175e-09
GO:0050673	6.34715947198347e-08
GO:0050678	1.0828466601198e-07
GO:0030335	1.82758161404926e-07
GO:0060485	2.38645907378022e-07
GO:0048729	2.53020859800799e-07
GO:0040017	3.14254343996901e-07
GO:0090132	4.0573289464781e-07
GO:0010631	4.402157902625e-07
GO:2000147	5.0383728794761e-07
GO:0090130	6.23864127989536e-07
GO:0030855	8.77367643380351e-07
GO:0001501	9.35722499826521e-07
GO:0043616	1.39200378584309e-06
GO:0007169	1.39939118581863e-06
GO:0048762	1.64965349964307e-06
GO:0001655	1.99115625074147e-06
GO:0043588	2.50047351020045e-06
GO:0051336	3.07229669990183e-06
GO:0002009	3.34206161708035e-06
GO:0002064	3.55577148930875e-06
GO:0016055	4.3757228917756e-06
GO:0048705	5.07105172423058e-06
GO:0198738	5.3060478242638e-06
GO:0030216	6.33849117560459e-06
GO:0007389	6.79089321990417e-06
GO:0043087	7.87739518038996e-06
GO:0051345	7.99822486945891e-06
GO:0032755	8.82547958818132e-06
GO:0003002	8.86078281462491e-06
GO:0030850	1.0225031871404e-05
GO:0045597	1.03947062354444e-05
GO:0006935	1.13203915276076e-05
GO:0035148	1.29253464128656e-05
GO:0001816	1.35674789722418e-05
GO:0042330	1.37255573674124e-05
GO:0072001	1.65988308002873e-05
GO:0016049	1.83222117653987e-05
GO:0030155	1.91502488659864e-05
GO:0001837	2.15784359283679e-05
GO:0016331	2.70993777413842e-05
GO:0001817	2.88837827419378e-05
GO:0030308	3.26911655735654e-05
GO:0008544	3.72183917723663e-05
GO:0048706	4.13876947654106e-05
GO:0043009	4.245717712889e-05
GO:0009792	4.29813703798912e-05
GO:0060562	4.32770338688606e-05
GO:0001558	4.35515748790185e-05
GO:0045862	4.71682588700937e-05
GO:0001822	4.76867927961988e-05
GO:0045926	5.19201405243797e-05
GO:0060343	5.37949241843529e-05
GO:0032722	6.82302780326371e-05
GO:0009611	7.81407729164922e-05
GO:0021915	7.94343561949649e-05
GO:0060326	7.96135215393194e-05
GO:0098609	7.96255056661168e-05
GO:0035767	7.98312658018484e-05
GO:0040008	8.28982556514553e-05
GO:0048598	8.32665049515583e-05
GO:0043547	8.49125699757801e-05
GO:0007162	8.87546300779817e-05
GO:0051347	9.62312405210324e-05
GO:0010092	0.00010126057890901
GO:0110110	0.00010126057890901
GO:0045229	0.000108419805229908
GO:0010810	0.000108619782446053
GO:0060349	0.000112475488236404
GO:0051056	0.000117373687425589
GO:0032874	0.000119065419855242
GO:0061430	0.000122741386771984
GO:0010632	0.000129038136419226
GO:0003184	0.000146117380552445
GO:0048732	0.000156814957231496
GO:0046330	0.00015729269149817
GO:0034330	0.000169741047312117
GO:0031344	0.000176114937707165
GO:0043507	0.000183315469592315
GO:0030198	0.000187783339231829
GO:0046777	0.00019311023496234
GO:0002367	0.000202014577470549
GO:0043062	0.000227230936482791
GO:0060560	0.000227996129424646
GO:0070304	0.000228687492351395
GO:0016197	0.000229647420378613
GO:0061383	0.000231812100693084
GO:0032602	0.000232311914042819
GO:0048704	0.000232311914042819
GO:0008285	0.000233323461949114
GO:0071345	0.000237008929224032
GO:0060348	0.000242008469748104
GO:0009913	0.000253157461789121
GO:0033993	0.000260281751769802
GO:0120035	0.000277970196526423
GO:0042060	0.000282998244432926
GO:0035023	0.000284840877515562
GO:0006611	0.000286268388895198
GO:0045860	0.000292397898371366
GO:0072073	0.000293847333691759
GO:0048871	0.000297711218911046
GO:0001819	0.000305665628914493
GO:0048863	0.000307309111441998
GO:0036152	0.000309603750396709
GO:0045217	0.00033259662024997
GO:0072175	0.00034619891178727
GO:0001568	0.00034931270172962
GO:0032642	0.000363222986735548
GO:0009954	0.000363572826566712
GO:0030111	0.0003648737962605
GO:0034329	0.000365151967384723
GO:0010634	0.000371824767815858
GO:0071902	0.000375789640244282
GO:0050920	0.00038079973925379
GO:0000165	0.000414053784524396
GO:0033674	0.000424918316633412
GO:0050921	0.000442811306427525
GO:0002718	0.000464615661163358
GO:0032880	0.000469880749818028
GO:0001944	0.000472088820553852
GO:0043405	0.000497816716980612
GO:0048568	0.000500078019232522
GO:0001759	0.000526545964529529
GO:0003177	0.000526545964529529
GO:0009100	0.000526723997383572
GO:0010977	0.00055419644050795
GO:0048514	0.000592337749499812
GO:0060070	0.00059485814956524
GO:0018149	0.000603331633422439
GO:2000647	0.000603331633422439
GO:0043406	0.000606110627545047
GO:0010718	0.000612916507088679
GO:0045071	0.000612916507088679
GO:0140962	0.000631771253841224
GO:0050679	0.000636526817205597
GO:0010975	0.000640439222529881
GO:0044344	0.000642563979218098
GO:0003156	0.000664773453359843
GO:0051216	0.000674962952797965
GO:0070371	0.000677325010663899
GO:0000323	2.77190745222021e-08
GO:0005764	2.77190745222021e-08
GO:0001533	4.62929737611391e-08
GO:0005911	1.05453492775074e-07
GO:0005773	9.20225617242757e-07
GO:0009986	2.89324032595863e-05
GO:0005802	4.90611385612491e-05
GO:0043296	8.11503587221979e-05
GO:0062023	0.000141555874392212
GO:0005775	0.000144589315651714
GO:0030057	0.000158228117560579
GO:0005923	0.000196740242495764
GO:0070160	0.00022834264860598
GO:0055037	0.000308074803508397
GO:0031012	0.000352605376748123
GO:0000139	0.000359614738344627
GO:0031252	0.000386477760840735
GO:0030312	0.000404519427972772
GO:0009925	0.000485789254885697
GO:0043202	0.000553684249580253
GO:0005604	0.000599001542258235
GO:0098791	0.000607555651343861
GO:0005912	0.000733867151387164
GO:0001726	0.000866145687055353
